track_id,track_name,artists,popularity
71waZSN7ndMe8LJlWdEDPv,"Symphony 5. in C Minor, Op.67 IV. Allegro - Presto","Ludwig van Beethoven, Czech Symphony Orchestra, Michaela Rózsa Růžičková",35
7kU8z7kR9si4wMXLitxy7J,On Hearing the First Cuckoo in Spring,"Frederick Delius, Michaela Rózsa Růžičková, Czech Symphony Orchestra",36
5fPJEybjtk8fjQzEEUeSPx,Gnossienne: No. 1 (Arr. for Viola and Harp),"Erik Satie, Carrie Frey, Sonia Bize",47
5FjHmO8izoYkZXDgPnCdZC,Asturias (Leyenda),"Isaac Albéniz, Andrés Madariaga",44
0PC67gPR6xg9xYU6UJ9jSY,Die Fledermaus: Overture,"Johann Strauss II, Czech Symphony Orchestra, Michaela Rózsa Růžičková",42
5OM2VzZETrvmnbuekExuO6,"Waltz No. 19 in A minor, Op. Posth.","Frédéric Chopin, Mimosa",43
2hIgVLYap2ue0ghIEmqGUu,"Ave verum corpus, K.618","Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Czech Symphony Choir",40
3gtQ9EUJfwIUW0IWZJrB1d,"Concerto No. 2 in G Minor, Op. 8, RV 315, “L’estate” (Summer): III. Presto","Antonio Vivaldi, The City of Prague Philharmonic Chamber Group, Richard Hein, The City of Prague Philharmonic Orchestra, Vlastimil Kobrie",45
2NCZGul65RgVTCIcQA94TE,"Radetzky March, Op. 228","Johann Strauss I, Czech Symphony Orchestra, Michaela Rózsa Růžičková",40
0OT8CzmbJJeRDAxvldPLmk,"2 Aquarelles: Lento, ma non troppo","Frederick Delius, Czech Symphony Orchestra, Michaela Rózsa Růžičková",41
0XLhh0Sx2jpFOVVVDTwkLB,St. Paul’s Suite Op 29 No 2 II. Ostinato,"Gustav Holst, The City of Prague Philharmonic String Ensemble, Richard Hein",40
4vGAA5ZOgkD0mNJOEfNG0L,"Swan Lake (Suite), Op. 20a, TH.219: 2. Scene - Valse in A Major","Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",46
5VPHCoZskR2TyrubMtersz,"Symphony No. 25 in G Minor, K.183: I. Allegro Con Brio Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková","Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková",42
0uW4QZqBxghouEWDNeQykZ,"Symphony No. 40 in G Minor, K. 550: I. Molto Allegro","Wolfgang Amadeus Mozart, The City of Prague Philharmonic Orchestra, Richard Hein",42
3PTavERej5ACkClXjmVGqB,"Piano Sonata 11 in A: III. Rondo Alla Turca, K. 331","Wolfgang Amadeus Mozart, Jaromír Klepáč",40
2PVGV2o83ZFdwM0E6H4AiW,La Gioconda / Act 3: Dance of the Hours,"Amilcare Ponchielli, Michaela Rózsa Růžičková, Czech Symphony Orchestra",40
2WK9ERO6FNlCGMmAo0FZlC,"2 Aquarelles: Gaily, but not quick","Frederick Delius, Czech Symphony Orchestra, Michaela Rózsa Růžičková",39
5cBlxWA7KWcApq9rs6YKBq,Romanza (Spanish Romance),"Anonimo Anonimo, Andrés Madariaga",44
7gLNZfRYMDFGPKtKtRWKsl,Selene,José Salinas,41
5cuZ8MyXu62faucSxsznoW,St. Paul’s Suite Op 29 No 2 I. Jig,"Gustav Holst, The City of Prague Philharmonic String Ensemble, Richard Hein",40
4NhuGX3w3HxYEbI1WMmws2,"Two Pieces, Op. 47: 1. Lotus Land","Cyril Scott, Adriano Spampanato",38
5clyFQEzmI7iX94YPLlTkZ,"Abdelazar Suite, Z. 570: VI. Air","Henry Purcell, Czech Symphony Orchestra, Michaela Rózsa Růžičková",37
7AO4qERV9ib2H9SR4Y1hbt,Carmen: Overture,"Georges Bizet, The City of Prague Philharmonic Orchestra, Friedmann Riehle",41
0ewKoLCxSmhkYvwNKMtmDj,"Intermezzo, Op. 117, No. 2 in B-Flat Minor","Johannes Brahms, Arseniy Gusev",37
563JRu019H0WW3uQVfvyGI,St. Pauls Suite Op 29 No 2 IV Intermezzo Finale,"Gustav Holst, The City of Prague Philharmonic String Ensemble, Richard Hein",38
4ohUFvRY2eR17Lxq4p0Xrt,"Rêverie, L.68","Claude Debussy, Sonia Bize",38
0Q2L6q2J8k7gXTibHM69RL,"Cello Suite No. 2 in D Minor, BWV 1008: II. Allemande","Johann Sebastian Bach, Steven Honigberg",36
6RfQrww92al8rqPd1Tzskm,Merry-Go-Round of Life,"Joe Hisaishi, Annie Wu, Markus Kaitila",38
4EOSoJQe6HhU1PejD8pr42,"Ouvertüre nach Französischer Art, BWV 831: 8. Echo","Johann Sebastian Bach, Arseniy Gusev",38
3AXFEsGoroEBwwXlXe72WW,Fantasia Sevillana,"Joaquín Turina, Andrés Madariaga",34
65WUatZrfj14RtLtcDvQn9,St. Paul’s Suite Op 29 No 2 III Intermezzo Andante,"Gustav Holst, The City of Prague Philharmonic String Ensemble, Richard Hein",37
5waxY0ghYNEbn1bzjIutm2,"Cello Suite No. 2 in D Minor, BWV 1008: I. Prélude","Johann Sebastian Bach, Steven Honigberg",37
0OI4i64FyWEGsUscCCJhP0,The Nutcracker Op. 71 XIIIa. Chocolate (Spanish Dance),"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",37
1BpUig4r6n34l3WYyenvpq,Sonata Romántica: 1. Allegro moderato,"Manuel Ponce, Andrés Madariaga",33
02YK8mx9FuJnNGELeLPKtQ,Anhelo,José Salinas,37
7ptqoTEOf3b2utnZA4plZd,"Cello Suite No. 2 in D Minor, BWV 1008: IV. Sarabande","Johann Sebastian Bach, Steven Honigberg",35
7mjLOHzw4l2N4bXZahuaOE,Coppelia: Act I. Valse,"Léo Delibes, Czech Symphony Orchestra, Michaela Rózsa Růžičková",36
4T6GTE9QdOBVcP1snbxna9,The Nutcracker Op.71 XIIIc. Tea (Chinese Dance),"Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",37
472D5BWQYNWkClRgReX9ke,"Cello Suite No. 1 in G Major, BWV 1007: III. Courante","Johann Sebastian Bach, Steven Honigberg",37
2jx4Pfe2kOuvBkI6MTQX1Z,"Beethoven Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio Un Poco Mosso","Ludwig van Beethoven, The City of Prague Philharmonic Orchestra, Richard Hein, Jed Moss",36
6kfnDmSA73fIzo45MbPURm,"The Sleeping Beauty, Op. 66: Fee de Lilas (Variation VI)","Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",43
3ntVb1lMjMHJ6jDfB4UNQY,Sonata Romántica: 4. ﻿Allegro non troppo e serioso,"Manuel Ponce, Andrés Madariaga",32
2vx4Vn7sMvwkllWnoT1PXo,Gnossienne: No. 1,"Erik Satie, Andrés Madariaga",40
46qX7Uy1L7FpXazVSJynWY,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air","Johann Sebastian Bach, The City of Prague Philharmonic Orchestra, Richard Hein",36
4QkuCXAhB2mjWl2xLPkMWm,"Cello Suite No. 1 in G Major, BWV 1007: V. Menuets (1 & 2)","Johann Sebastian Bach, Steven Honigberg",35
74QhitsXPRgydZgcmc1mI1,"The Nutcracker, Op. 71, Act II, Scene XIV: Waltz of the Flowers","Pyotr Ilyich Tchaikovsky, The City of Prague Philharmonic Orchestra, Friedmann Riehle, Prague Philharmonic Orchestra",47
5MBs4BcK06G2A8cdleABBd,Cavatina: Scherzino,"Alexandre Tansman, Andrés Madariaga",33
0hrSdXJgsNftt2ZyEIHv26,"Symphony 5. in C Minor, Op.67 I. Allegro con brio","Ludwig van Beethoven, Czech Symphony Orchestra, Michaela Rózsa Růžičková",28
3Z3BQCyJSwP6HLyJUpOkVl,Sonata Romántica: 3. ﻿ Allegretto vivo: Più lento espressivo,"Manuel Ponce, Andrés Madariaga",32
3EchwvNnvh2DNl8xqk1257,Brook Green Suite: III. Dance,"Gustav Holst, Czech Symphony Orchestra, Michaela Rózsa Růžičková",34
2gmCIvMB1EzFIjNlUfqmkn,"Cello Suite No. 1 in G Major, BWV 1007: II. Allemande","Johann Sebastian Bach, Steven Honigberg",35
